pays,ville,nom,poste
Spain,Barcelona,Arxiu General del Museu Marítim de Barcelona,Community manager y auxiliar técnico del archivo
Russia,Arkchangelsk,Archangelic regional museum,specialist of it department
Japan,Tokyo,The Asahi Shimbun Company,文化事業部員
Canada,Red Deer,Alberta Sports Hall of Fame & Museum,Administration Assistant
United Kingdom,Oxford,Ashmolean Museum,Digital Communications Officer
United States,New York City,Asia Society,"Manager, Museum Digital Strategy"
United States,Houston,Asia Society Texas Center,Marketing Manager
Canada,Vancouver,H.R. MacMillan Space Centre,Director of Community Engagement
United States,New York City,ASMP,Director
United States,Tempe,ASU Art Museum,Public Relations and Marketing Specialist
Canada,Surrey,Surrey Museum,Public Programs Specialist
United Kingdom,Southport,The Atkinson,Marketing and Communications Apprentice
Ireland,Dublin,Atlas Language School,FOH
Canada,Drumheller,Atlas Coal Mine National Historic Site,Executive Director
United States,Atlanta,Atlanta History Center,Manager of Marketing and Online Media
United States,Allentown,Allentown Art Museum,Museum Educator
Canada,Regina,MacKenzie Art Gallery,Marketing & Media Relations Assistant
New Zealand,Auckland,Auckland Art Gallery Toi o Tāmaki,Online Coordinator
New Zealand,Auckland,Auckland War Memorial Museum,Digital Content Production Manager
Spain,Mucientes,Bodega.Aula de interpretación,Técnico de turismo
Canada,Aurora  ,Aurora Historical Society,Communications and Fundraising Coordinator
United States,Dearborn,The Automotive Hall of Fame,Publications Coordinator
India,Ahmedabad,aVni,Director
United Kingdom,Bromsgrove,Avoncroft Museum of Historic Buildings,Director
Canada,Ottawa,Canada Aviation and Space Museum,Social Media Officer
Australia,Canberra,Australian War Memorial,Web Manager
Russia,Perm,Azbuka Morse,manager project 
United States,Mesa,Commemorative Air Force - Airbase Arizona,Tinius
Belarus,Minsk,"The Museum ""Zair Azgur Memorial Studio""",Research fellow
Japan,Nagano Azumino ,Azumino art project ,学芸員
United Kingdom,Hitchin,British Schools Museum,Curatorial Assistant
France,Paris,Bibliothèque universitaire des langues et civilisations,Directeur scientifique
Canada,Wallacetown,Backus-Page House Museum,Cultural Manager
Brasil,Salvador,Museu de Arte Moderna da Bahia,Assessoria de comunicação e mídias sociais
United States,Broken Arrow,Broken Arrow Historical Society Museum,Executive Director
United Kingdom,Banbury,Banbury Museum,Marketing and Communications Manager
Canada,London,Banting House National Historic Site of Canada,Curator
United Kingdom,Birmingham,The Barber Institute of Fine Arts,Marketing Assistant
United Kingdom,London,Barbican Centre,Digital Marketing Executive
United States,New York City,Bard Graduate Center Gallery,Digital Designer & Website Manager
Tunisia,Le Bardo,Musée national du Bardo Tunisie,Chargée de la communication au musée national du Bardo
United Kingdom,Billericay,Barleylands Farm Park & Craft Village,Marketing Account Manager from Agility Marketing
United States,Bartlett,Village of Bartlett Museums,Director
United States,New York City,Bartow-Pell Mansion Museum,Social Media Coordinator
United States,Cartersville,Bartow History Museum,Marketing and Membership Manager
Italy,Torino,Basilica di Superga,resp. social media
United Kingdom,Basingstoke,Basing House,Commercial Activities Manager
United States,Nantucket,Nantucket Lightship Basket Museum,Director
Canada,Toronto,Bata Shoe Museum,New Media Manager
France,Ecuisses,Canal du centre association,Président
United States,Hartford,Bated Breath Theatre Company,Tour Manager and Education Director
Italy,Anghiari,Museo della Battaglia e di Anghiari,direttore
United Kingdom,London,Bauapp,CEO
Spain,Madrid,Bauapp España,Marketing Manager
Italy,Milano,Museo Bagatti Valsecchi,Web manager
United Kingdom,Bawdsey,bawdsey radar,volunteer
France,Bayeux,Bayeux Museum,Chargée de communication
United States,Sausalito,Bay Area Discovery Museum,Reservations Associate
United Kingdom,Barton-upon-Humber,Baysgarth House Museum - CHAMP,Development Officer
United States,Bristol,Birthplace of Country Music Museum,Associate Curator
Netherlands,Rotterdam,Tax & Customs Museum,Communication consultant
Brasil,Santos,SISEM,Representante Regional
Canada,Vancouver,Beaty Biodiversity Museum,"Marketing, Communications & Events Coordinator"
Canada,Ottawa,Musée des beaux-arts du Canada,Social Media Officer
United Kingdom,Jarrow,The World According to Bede,Museum Assistant
Israel,Tel Aviv,Beit Hatfutsot - The Museum of the Jewish People,"Manager, Donor Relationships"
United States,Fairfield,The Bellarmine Museum of Art,Registrar
Mexico,Ciudad de México,Instituto Nacional de Bellas Artes,Estrategia digital en redes sociales
United States,Minneapolis,Bell Museum of Natural History,Communications Manager
Austria,Wien,Belvedere Museum,New Media
Russia,Astrakhan,The Dogadin State Art Gallery Of Astrakhan,Инженер
Italy,Trento,Ufficio Beni archeologici della Provincia Autonoma di Trento,Responsabile Servizi Educativi
United Kingdom,London,Bentley Priory Museum,Learning Officer
United Kingdom,London,Ben Uri Gallery,Social Media Assistant
Japan,Beppu,BEPPU ART MONTH,staff
Japan,Beppu,NPO BEPPU PROJECT,representative
United States,Berkeley,The Lawrence Hall of Science,Marketing Assistant 
United States,Pittsfield,Berkshire Museum,Curatorial Assistant
United Kingdom,Bexhill,Bexhill Museum,Artist in Residence/Project Manager 'In Conversation with Annie'
United Kingdom,Bexley,Bexley Heritage Trust,Event Manager
United Kingdom,London,Benjamin Franklin House,Operations Manager
United Kingdom,London,BFI,Social Media and Campaigns Advisor
United States,Bainbridge Island,Bainbridge Island Museum of Art,Marketing Director
Germany,Münster,Bibelmuseum,museum director
France,Versailles,Bibliothèque Château de Versailles,Bibliothécaire-adjointe
France,Saint-Léger-sous-Beuvray,Musée de Bibracte,Chargée de communication numérique
United States,New York City,Big Screen Plaza,Assistant Director
United Kingdom,Portsmouth,The Royal Marines Museum ,Customer care assistant
Canada,Owen Sound,"Bishop House: Museum, Archives and National Historic Site",Curator of Collections
United Kingdom,Blackpool,Blackpool Museum,Community Engagement Manager
United States,Austin,Blanton Museum of Art,Digital Content Strategist
Spain,Barcelona,Blueproject Foundation,MANAGEMENT AND PRODUCTION
United Kingdom,Birmingham,Birmingham Museum and Art Gallery,Digital Development Manager
Germany,München,Bayerische Museumsakademie,Henrike Bäuerlein
United States,Baltimore ,Baltimore Museum of Industry ,Director of Marketing and Events 
France,Nancy,Bibliothèque-médiathèque de Nancy,Conservateur du patrimoine
United Kingdom,Birmingham,Birmingham Museum Collection Centre ,Collections Support Officer
Spain,Madrid,Museum of National Library of Spain ,Jefe de Museo
United States,Boca Raton,Boca Raton Museum of Art,PR & Marketing
United Kingdom,Oxford,Bodleian Libraries,Social Media Officer
United Kingdom,London,Bank of England Museum,Curator
Mongolia,Ulaanbaatar,Bogd Khaan Palace Museum,secretary
