pays,ville,nom,poste
Spain,Jaen,MUSARAÑA,DIRECCION
Italy,Montelupo Fiorentino,Museo Archeologico di Montelupo Fiorentino,Membro del Gruppo di Gestione
Spain,Córdoba,Museo Arqueológico de Córdoba,Directora
Canada,Ottawa,Musée Canadien de la Guerre ,Sr. Communications and Media relations Officer 
Canada,Gatineau,Musée canadien de l'histoire,Agent de communications
France,Montfort-en-Chalosse,Musée de la Chalosse,Chargée de communication
Italy,Trento,MUSE MUSEO DELLE SCIENZE TRENTO,Ufficio comunicazione MUSE
Spain,Granada,MUSEA Estudio de Museología,Museólogo/Gerente
Canada,Ottawa,Association des musées canadiens,Gestionnaire des communications
France,Angoulême,Musée d'Angoulême,webmaster
France,Arles,Musée de la Camargue,Chargée de communication
Canada,La Baie,Musée du Fjord,responsable des communications
France,Rodez,Musée Fenaille,Chargée de la communication numérique
Japan,Azumino,Jansem art museum,館長代理
France,Wingen-sur-Moder,Musée Lalique,chargée de communication
France,Loudun,Musée Charbonneau-Lassay,Responsable du musée
France,Chalon-sur-Saône,musée Nicéphore Niépce,Chargée de communication
France,Saint-Omer,Musée de l'hôtel Sandelin,Responsable de la communication
Canada,Odanak,Musée des Abénakis,Agente médiation et communication
France,Lyon,Le Musée Africain de Lyon,Chargée de communication
Canada,Ottawa,Musée de l'agriculture et de l'alimentation du Canada,"Agente, Médias Sociaux"
France,Le Bourget,Musée de l'Air et de l'Espace,Webmaster éditorial
France,Bordeaux,musée d'Aquitaine,Chargé de médiation numérique
France,Arles,Musée départemental Arles antique,Webmaster / CM
Belgium,Arlon,Musee Archéologique d'Arlon,Diectrice
France,Paris,le Musée de l’Armée,Webmaster
France,Paris,Musée des Arts Forains,Attachée de direction
France,Saint-Etienne,Musée d'art moderne et contemporain Saint-Etienne Métropole,responsable communication 
France,Biarritz,Musée Asiatica,Chargée de communication
France,Toulouse,Musée des Augustins,chargée de communication
Canada,Ottawa,Musée de l'aviation et de l'espace du Canada,"Agente, Médias Sociaux"
France,Bayonne,Musée Bonnat-Helleu,Responsable du service des publics
Switzerland,Lausanne,Bolo Museum,Director
Canada,Valcourt,Musée J. Armand Bombardier,"coordonnatrice promotion, relations médias et web"
France,Le Cannet ,Musée Bonnard ,Webmaster 
France,Boulogne-sur-Mer,Musée de Boulogne sur Mer,chargée de communication
France,Paris,Musée Carnavalet,"Chargé de communication, développement des nouveaux médias"
France,Paris,Musée Cernuschi,assistante
Canada,La Malbaie,Musée de Charlevoix,Responsable des communications
France,Saint-Pierre-de-Chartreuse,Musée de la Grande Chartreuse,Directeur d'exploitation
France,Paris,Musee Cognacq-Jay,Directrice du musée
France,Claracq,"Musée gallo-romain, Claracq",Animatrice du musée
France,Paris,Musée de Cluny,Responsable communication et partenariats
France,Cluses,Musée de l'Horlogerie et du Décolletage,Médiatrice Culturelle
Canada,Trois-Rivières,Musée québécois de culture populaire,"Responsable communications, diffusion et développement des publics"
France,Paris,Musée Dapper,Assistante de communication
France,Rennes,Musée de Bretagne,Chargé de l'action culturelle numérique
France,Die,Musée de Die et du Diois,Chargée de communication
France,Fécamp,Musée de Fécamp,Attachée de conservation
France,Grenoble,musée de Grenoble,Chargée de communication
Canada,Longueuil,Musée de la Femme,Technicienne en muséologie
Switzerland,Lausanne,Musée de la main UNIL-CHUV,Collaborateur polyvalent
France,Paris,Musée de La Poste,Webmaster Community manager
France,Paris,Musée de la Poupée-Paris,chargée de la communication
France,,Musée Européen des Médias,Fondatrice et Présidente du Musée
Canada,Grande-Anse,Popes' Museum,Guide-Interprète
France,Tautavel,Musée de Préhistoire de tautavel,Responsable Marketing
France,Geispolsheim,Musée les Secrets du Chocolat,Assistante web
France,Mézin,Musee du liege et du bouchon,Médiatrice culturelle
France,Toulouse,Musée Paul-Dupuy,Chargée de communication
France,Nice,Musée National du Sport,Responsable communication
France,Paris,Le Musée en Herbe,community manager
France,Cap d'Agde,Musée de l'Ephèbe & d'archéologie sous-marine,Responsable Communication - TICN des musées d'Agde
France,Paris,Musée de la Franc-maçonnerie,Community Manager/Association Amis du Musée de la FM
France,Tourves,Musée des Gueules Rouges,chargé de communication 
France,Paris,Musée national des arts asiatiques - Guimet,Responsable numérique
Canada,Montréal,Centre commémoratif de l'Holocauste à Montréal,Coordonnatrice événements et communications
France,Saint-Nicolas-d'Aliermont,Villa Médicis,Directrice du musée
Switzerland,Vevey,Musée Jensich Vevey,Responsable web & nouveaux médias
France,Waldersbach,Musée JF Oberlin,Chargée de promotion
France,Toulouse,Musée Georges-Labit,Chargée de communication
France,Roubaix,Roubaix - La Piscine,Chargée de la Communication 
France,Paris,MUSEE DU LOUVRE,CHEF DE SERVICE COM NUMERIQUE
France,Lens,Musée du Louvre-Lens,Webmanager
France,Paris,Musée du Luxembourg,CM
France,Rueil-Malmaison,Château de Malmaison,Chargé de la Communication et du mécénat
France,Paris,Musée national de la Marine ,"Webmaster, community manager"
Canada,Montréal,Musée McCord,"Agente, Marketing et Communications, Promotion"
France,Saint-Germain-en-Laye,Musée départemental Maurice Denis,Chargée de mission
France,Marcy l'étoile ,Musée de sciences biologiques Dr Mérieux,Responsable
Maroc,Rabat,Musée Mohammed VI,Chargée de communication de la Fondation nationale des musées du Maroc
France,Trouville-sur-Mer,Musée Villa Montebello,Responsable administrative et financière
France,Paris,Musée de Montmartre,Chargé de communication
Luxembourg,Luxembourg,Musée national d'histoire et d'art,Chargée de communication
France,Nice,Musée Nietzsche,Art Director
France,Caen,Musée de Normandie,Communication
Switzerland,Lausanne,Le Musée Olympique,Community manager
France,Paris,Musée de l'Orangerie,Webmestre / Community manager
France,Paris,Musée d'Orsay,Community manager
France,Bouxwiller,Musée du Pays de Hanau,Responsable du Musée
France,Concarneau,Musée de la Pêche,Responsable Administration et Communication
France,Paris,Musée national Picasso-Paris,Responsable des systèmes d'information et des projets numériques
France,Osny,Musée Départemental des Sapeurs-Pompiers du Val d'Oise,Responsable du musée
France,Pont-Aven,Musée de Pont-Aven,Responsable Administration et Communication
Canada,Nicolet,Musée des religions du monde,Adjointe à la direction
Canada,Montréal,Musée du Rock'n'Roll,directeur général
France,Paris,Musée Rodin,chargé de communication
Canada,La Prairie,Musée d'archéologie de Roussillon,Responsable des programmes et du développement des clientèles
France,Angers,Musées d'Angers,Médiatrice
France,Saint-Frajou,Musée de Peinture de Saint-Frajou,Conseillère artistique
France,Lyon,musées Gadagne,Webmestre
Canada,Montréal,Musées Montréal,Agente d’information et relations réseaux
France,Rodez,Musée Soulages,Chargée de la communication numérique
Canada,Montréal,Musee Stewart,"Agente, marketing et communications"
Canada,Trois-Rivières,Musée des Ursulines,Responsable de l'animation
France,Bordeaux,Musée du Vin et du Négoce de Bordaux,Président
Italy,Firenze,Mus.e Firenze,Communications Manager
Italy,Bassano del Grappa,Musei civici di Bassano del Grappa,caposervizio Cultura
Italy,Reggio Emilia,Musei Civici di Reggio Emilia,Funzionario
Italy,Fiesole,Musei con vista su Fiesole e Firenze,comunicatrice
Italy,Taormina,Musei Etnei,Social Media Manager
Italy,Padova,Musei Colli Euganei,Operatrice didattica
Italy,Roma,Musei in Comune Roma,Social Media
Italy,Bolzano,Museion,Addetta stampa
Spain,Bilbao,Museo de Bellas Artes de Bilbao,Directora de Comunicación
Spain,Madrid,Lázaro Galdiano Museum,Web master y Community Manager
Chile,Santiago,Museo de Arte Contemporaneo - Universidad de Chile,Encargada de prensa y comunicaciones
Mexico,Mérida,Museo Fernando García Ponce-Macay,Gestor de comunidades digitales
Italy,Napoli,Museo Madre,responsabile web e social network
Italy,Roma,MAME Museo Nazionale dell'Alto Medioevo,Assistente all'accoglienza
Italy,Roma,MAXXI National Museum of XXI Century Arts,Digital comunications manager
Italy,Roncegno Terme,Museo degli Strumenti Musicali Popolari,collaboratore
Spain,Madrid,Museo Naval,Social Media
Italy,Orani,Museo Nivola,comunicazione e social media
Italy,Rovereto,Fondazione Museo Civico di Rovereto,Comunication Office
Mexico,Ciudad de México ,Museo Nacional San Carlos ,Difusión y Prensa 
Italy,Abbadia Lariana,Civico Museo Setificio Monti,Staff
Mexico,Oaxaca de Juárez,Museo Textil de Oaxaca,Difusión
Spain,Pamplona,Museo Universidad de Navarra,Community manager
Italy,Torino,Museo Di Arti Decorative Accorsi - Ometto,ufficio stampa
Mexico,Ciudad de México,"Alfredo Guati Rojo, National Watercolor Museum",Diffusion Department Assistant
Spain,Agost,Museo de Alfarería de Agost,Directora
Italy,Agropoli,Palazzo Civico delle Arti,Operatrice culturale
Ecuador,Quito,Museo Casa del Alabado,Subdirectora
Spain,Granada,Museo de la Alhambra,Gestión de redes
Spain,Almería,Museo de Almería,Área de difusión. Conservadora
Spain,Madrid,Museo de la Catedral de la Almudena,Técnico del Museo
Mexico,Ciudad de México,Museo de Arte Moderno,Contenidos Digitales
Mexico,Puebla,Museo Amparo,Community Manager
Italy,Anticoli Corrado,Civico Museo d'Arte Moderna e Contemporanea,Direttore
Italy,Roma,Museo di Archeologia per Roma,Responsabile comunicazione
Italy,Anzio,museo civico archeologico di anzio,responsabile museo
Italy,Cagliari,Museo Archeologico Nazionale di Cagliari,assistente
Italy,Porto Torres ,Museo Archeologico Nazionale Antiquarium Turritano,Assistente Museale
Italy,Salerno,Museo archeologico provinciale Salerno,Socio Fonderie Culturali
Italy,Venezia,Museo Archeologico Nazionale di Venezia,social media manager
Italy,Torino,Museo di Antichità di Torino,Direttore
Mexico,Torreon ,Museo Arocena ,Communication
Colombia,Bogotá,Museo de Artes Gráficas de la Imprenta Nacional de Colombia,Coordinadora Museo
Argentina,Tigre,Museo de Arte Tigre,Coordinador Área de Comunicación y prensa
Spain,Madrid,"Museo de Artes y Tradiciones Populares ""La Corrala""","Realización de visitas guiadas, talleres a colegios, community manager"
Spain,Málaga,Museo Automovilístico de Málaga,Responsable de Comunicación
Italy,Torino,MAUTO,SOCIAL NETWORK TEAM
Spain,Ronda,Museo del Bandolero,Trabajador
Italy,Roma,Palazzo Barberini Galleria Nazionale d'Arte Antica,Assistente all'accoglienza e gestore social network
Spain,Granada,Museo de Bellas Artes de Granada,Asesor Técnico de Difusión
Italy,Castelfiorentino,BeGo Museo Benozzo Gozzoli,Assistente museale
Spain,A Coruña,Museo de Belas Artes da Coruña,Departamento de Difusion:  Página Web y Redes Sociales
Italy,Belluno,Museo Civico di Belluno,Conservatore Museo
Italy,Tovo San Giacomo ,museo dell'orologio da torre Bergallo ,Responsabile ente gestore museo (cooperativa Sociale)
Italy,Trieste,Museo della Bora,Presidente Associazione Museo della Bora
Italy,Milano,Pinacoteca di Brera,stagista
Italy,Cosenza,Museo dei Brettii e degli Enotri,Direttore museo
Spain,Cádiz,Museo de Cádiz,ADM  Social media Manager
Spain,Elda,Museo del Calzado,Community Manager
Italy,Sant'Anatolia di Narco,Museo della Canapa,Direttore
Italy,Possagno,Muso Gipsoteca Antonio Canova,Museum's Education Department
Italy,Foligno,Museo Caprai,responsabile
Chile,Santiago,Museo Histórico Carabineros de Chile,Periodista
Italy,Faenza,Carlo Zauli Museum,Social Media Manager
Italy,Viareggio,Museo del Carnevale di Viareggio,Operatore Associazione H.Ar.T.
Italy,Valguarnera Caropepe,Museo Etnico-Antropologico Palazzo Prato,Direttore
Spain,Salamanca,Museo Art Nouveau y Art Déco - Casa Lis,Directora de Comunicación y Marketing
Spain,Santiago de Compostela,Museo Casa da Troia,Director
Spain,Santiago de Compostela,Museo Catedral de Santiago de Compostela,Director del DEAC
Italy,Borgoricco,Museo della Centuriazione Romana,Direttore
Italy,Savona,Museo della Ceramica,comunicazione
Italy,Capri,Centro Caprense Ignazio Cerio,Presidente
Spain,Madrid,MUSEO CERRALBO,Conservadora de Museos
Italy,Cetraro ,Museo Civico Cetraro ,Socia della cooperativa che gestisce il museo 
Venezuela,Caracas,Museo de Ciencias,Community Manager
Italy,Torino,Museo Nazionale del Cinema,Social media manager 
Colombia,Bogotá,Museo Colonial,Museólogo
Italy,Roma,Museo Storico della Comunicazione,Coordinatrice
Mexico,Ciudad de México ,Museo Nacional de las Culturas,Jefa de Difusión
Switzerland,Lugano,Museo delle Culture,Biblioteca e sito web
Argentina,Olavarría,Museo Municipal Dámaso Arce,Responsable departamento educativo
Colombia,Medellín,Museo de Antioquia,Comunicadora
Colombia,Bogotá,Fundación Museodata,Director
Spain,Santillana del Mar,Museum of Altamira,Deputy Director
Peru,Lima,MALI - Museo de Arte de Lima,Coordinadora de Comunicaciones
Argentina,Buenos Aires,Museo de La Pasion Boquense,Commercial Director
Mexico,Celaya,"Museo de Celaya, Historia Regional",Promotora Cultural 
Mexico,Ciudad de México ,Museo Nacional de Historia Castillo de Chapultepec,Jefa del depto. de Promoción Cultural del Museo
Italy,Camerata Cornello,Museo dei Tasso e della Storia postale,Segreteria Organizzativa
Italy,Milano,Museo del Novecento,servizio civile
Mexico,Ciudad de México,Museo de la Mujer,Coordinadora de Actividades
Spain,Gernika-Lumo,Museo de la Paz de Gernika - Gernikako Bakearen Museoa,Encargada del área de Educación y Redes Sociales
Paraguay,Asuncion,Museo del Barro,Directora de la colección de arte indígena
Italy,Santarcangelo,Museo del Bottone,Direttore del Museo
Italy,Carbonia,Museo del Carbone,Addetta marketing e comunicazione
Mexico,Saltillo,Museo del Desierto,Director de Comunicacion
Spain,Sabadell,Museu del Gas de la Fundació Gas Natural Fenosa,Communications Manager
Spain,Toledo,Museo del Greco,Conservador
Spain,Burgos,Museo del Libro Fadrique de Basilea,Responsable de comunicación
Spain,Madrid,Museo Nacional del Prado,Responsable de Comunicación Online
Italy,Prato,Museo del Tessuto,Collaboratrice
Spain,Madrid,Museo del Traje,Community Manager
Argentina,Buenos Aires,Museo Nacional de la Historia del Traje,Responsable Prensa y Comunicación
Argentina,Luján,Museo Municipal de la Ciudad de Luján,Conservador/restaurador
Italy,Altare,Museo Dell'Arte Vetraria Altarese,Conservatore
Spain,Morales de Toro,Pagos del Rey Museo del Vino,Director del Museo 
Italy,Cremona,Museo del Violino,Social Media Manager
Spain,Tudela,Museo de Tudela,Técnico del Museo
Italy,Vicenza,Museo Diocesano Vicenza,Segreteria di Direzione
Italy,Reggio Calabria,"Museo diocesano ""Mons. Aurelio Sorrentino""",direttore conservatore
Italy,Genova,MUSEO DIOCESANO DI GENOVA,CONSERVATORE DEL MUSEO
Italy,Trento,Museo Diocesano Tridentino,addetta stampa
Spain,Santiago de Compostela,Museo do Pobo Galego,Responsable dto. Educación y Acción Cultural
Italy,Venezia,Museo Ebraico di Venezia,social media manager
Italy,Torino,Museo Egizio,Responsabile Ufficio Marketing e Comunicazione
Spain,Las Palmas de Gran Canaria,Museo Elder de la Ciencia y la Tecnología,Técnico
Mexico,Ciudad de México,Museo Estudio Diego Rivera,Difusión y relaciones públicas
Spain,Ribadavia,Museo Etnolóxico. Ribadavia,Bibliotecaria 
Spain,Segovia,MUSEO DE ARTE CONTEMPORÁNEO ESTEBAN VICENTE,Asistente de Dirección
Argentina,Buenos Aires,Museo Evita,Community manager
Spain,Burgos,Museo Evolución Humana,Responsable de Comunicación
Argentina,Buenos Aires,Ministerio de Cultura Bs As,Prensa
Italy,Napoli,Museo Civico Gaetano Filangieri,curatore
Spain,Sevilla,Museo del Baile Flamenco Cristina Hoyos,Community Manager
Mexico,Ciudad de México,Museo Frida Kahlo,Coordinadora de Difusión y Contenidos Digitales
Mexico,San Luis Potosi,Museo Federico Silva,Visitante
Italy,Fucecchio,Museo di Fucecchio,soggetto gestore
Italy,Firenze,Museo Galileo. Istituto e Museo di Storia della Scienza,Segreteria
Italy,Longiano,Fondazione Neri - The Italian Museum of cast Iron,Director
Spain,Sevilla,Museographia Espacios Expositivos,Community Manager
Mexico,Ciudad de México,Museographista,Directora General
Italy,Talamello,Museo Gualtieri,Assessore Cultura
Spain,Bilbao,Museo Guggenheim Bilbao,Subdirectora de Educación e Interpretación
Argentina,Buenos Aires,Museo Histórico Nacional,Coordinador de Prensa
Spain,Madrid,Museo ICO,Técnico Área de Arte Fundación ICO
Argentina,Buenos Aires,Museo de Informatica,Presidente y Fundador
Italy,Ferrara,Musei Civici di Arte Antica Ferrara,Conservatore
Italy,Avellino,Museo Irpino/Mediateur,Staff
Colombia,Medellín,Museo de Ciencias Naturales de La Salle,Comunicadora
Spain,Jaca,Museo Diocesano Jaca - Arte Románico,Directora Gerente
Colombia,Cali,Museo de Arte Moderno la Tertulia,Marketing y Comunicaciones
Italy,Vinci,Museo Leonardiano,addetto front office
Mexico,Toluca,Museo Universitario Leopoldo Flores,Directora
Spain,Valencia,"L'Iber, Museo de los soldaditos de plomo",Director
Italy,Genova,Museo Luzzati,ufficio stampa e comunicazione
Argentina,Buenos Aires,MACBA,Director Ejecutivo
Italy,Gallarate,Museo MAGA,Responsabile ricerca e web
Argentina,Buenos Aires,MALBA,Coordinadora de Comunicación
Uruguay,Montevideo,MAPI,Director
Mexico,Monterrey,Museo de Arte Contemporáneo de Monterrey,Coordinación de nuevos medios
Italy,Mamoiada,Museo delle Maschere Mediterranee,Direttore
Italy,Milano,Museo d'Arte e Scienza,Direttore
Italy,Ercolano,MUSEO ARCHEOLOGICO VIRTUALE,Direttore
Mexico,Cancún,Museo Maya de Cancún,"Director, INAH Quintana Roo"
Mexico,Torreón,Museo de los Metales,Community Manager
Venezuela,Caracas,Museo Arturo Michelena,Periodista y redes sociales
Mexico,Ciudad de México,"MIDE, Museo Interactivo de Economía",Director de Comunicación y Relaciones Públicas
Spain,Abanto-Zierbena,Museo de la Minería del País Vasco,Voluntario
Italy,Montebelluna-Treviso,Museo di Storia naturale e Archeologia di Montebelluna,Direttore
Italy,Montefalco,Complesso Museale San Francesco,responsabile 
Italy,Montelupo Fiorentino,Museo della Ceramica di Montelupo,Curatore esposizione
Spain,Alicante,MUBAG Museo de Bellas Artes Gravina,Asesora Marketing Online
Mexico,Ciudad de México,Museo Mural Diego Rivera,Jefa del Departamento de Comunicación Educativa y Difusión 
Italy,Vimercate,MUST Museo del territorio vimercatese,Responsabile comunicazione e turismo
Colombia,Bogotá,Museo Nacional de Colombia,Jefe de comunicaciones
France,Arles,"Museon Arlaten, musée départemental d'ethnographie",Responsable du service des publics
Italy,Firenze,Museo Novecento,Communications Manager
Spain,Irun,Museo Romano Oiasso,Responsable de actividades y Community Manager
Italy,Ancona,Museo Tattile Statale Omero,Ufficio Comunicazione
Italy,Pescara,Museo Paparella,dipendente 
Italy,Populonia,MUSEO ETRUSCO DI POPULONIA - COLLEZIONE GASPARRI -,Consulente scientifico
Spain,Elche,Museo Escolar de Pusol,Coordinadora del Museo
Chile,Quillota,Museo Histórico Arqueológico de Quillota,Curadora del área de bioantropología
Spain,Madrid,Museo Reina Sofía,Head of Web
Italy,Rio nell'Elba,Museo civico archeologico del Distretto Minerario- Rio nell'Elba,Servizio Comunicazione Comune di Rio nell'Elba
Spain,Mérida,Museo Nacional de Arte Romano - Merida,Bibliotecario
Italy,Palermo,"Museo Archeologico Regionale ""Antonino Salinas"" di Palermo",Direttore
Italy,Lu Monferrato,Museo San Giacomo,Direttrice Museo San Giacomo
Italy,Sassari,Museo Nazionele G.A. Sanna,Assistente museale
Spain,Gijon,Museos Arqueológicos Gijón/Xixón,becario
Chile,Valdivia,Dirección Museológica UACh,Periodista & Encargada de Comunicaciones
Colombia,Bogotá,Museo Botero,Periodista
Italy,Milano,Museo Nazionale Scienza Tecnologia Leonardo da Vinci,Responsabile Internet e Media Interattivi
Argentina,Bahía Blanca,Museum of art: MBA-MAC,Comunication
Spain,Gijón,"Departamento de Museos de la Fundación Municipal de Cultura, Educación y Universidad Popular",TÉCNICO DE MUSEOS
Spain,Madrid,Museo Sorolla,Conservadora
Italy,Torino,Associazione Amici del Museo dello Sport,Presidente Associazione
Argentina,Santa Fe,Museo Provincial de Bellas Artes Rosa Galisteo de Rodríguez,Comunicación digital
Spain,Santa Cruz de Tenerife,Museos de Tenerife,Community Manager
Argentina,Buenos Aires,MUSEO DE HUMOR GRÁFICO DIOGENES TABORDA,Director
Mexico,Ciudad de México ,Museo Tamayo ,Coordinadora de estrategia digital
Italy,Varese,MUSEO TATTILE VARESE,RESPONSABILE
Mexico,Puebla,Museo del Tecnológico de Monterrey,Tecnológico de Monterrey
Spain,Madrid ,Museo Thyssen-Bornemisza,press 
Colombia,Bogotá,Museo de Trajes,community manager
Argentina,Luján,Complejo Museográfico Provincial Enrique Udaondo,Jefe del Área de Comunicación
Colombia,Medellín ,Museo Universitario Universidad de Antioquia,Coordinadora del Área de Comunicaciones 
Puerto Rico,San Juan,"Museo de Historia, Antropología y Arte",Educadora Asistente
Italy,Busseto,Giuseppe Verdi National Museum,social media consultant
Italy,Copparo,Centro studi Dante Bighi,vice presidente
Spain,Sax,Museo Virtual de la Villa de Sax,administrador
Italy,Milano,WOW Spazio Fumetto,Curatore
Uruguay,Montevideo ,Museo Zorrilla,Coordinadora del Museo
Spain,Zamora,Museo Etnográfico de Castilla y León,Librarian
Brasil,São Paulo,Museu da Imigração do Estado de São Paulo,Gerente de Comunicação Institucional
Brasil,Itapira,Museu de História Natural Hortêncio Pereira da Silva Júnior,Agente de Administração
Spain,Mollet del Vallès,Fundació Municipal Joan Abelló,conservadora
Brasil,São Paulo,Associação Museu Afro Brasil,Auxiliar de comunicação
Spain,Valencia,Museo Arroz Valencia,Técnico
Brasil,Belo Horizonte,Museu de Artes e Ofícios,coordenadora de comunicação
Brasil,Rio de Janeiro,Museu de Arte do Rio,Analista de conteúdo Digital 
Brasil,São Paulo,Museu de Arte Sacra de Sao Paulo,Especialista em Comunicação
Spain,Girona,Museu d'Art de Girona,Responsable de comuncación
Spain,Mataró,Museu Arxiu de Santa Maria (Mataró),Miembro
Spain,Badalona,Museu de Badalona,Difusió
Spain,Barcelona,Museu de Ciències Naturals de Barcelona,community manager
Spain,Girona,Museu del Cinema,Director del Museo
Portugal,Vila Nova de Foz Coa,Museu do Coa,Arqueólogo
Brasil,São Paulo,MUSEU DA DANÇA,DIRETORA FUNDADORA
Brasil,São Paulo,Museu da Energia de São Paulo,Analista de Comunicação
Portugal,Lisboa,Museu da Farmácia,Director
Spain,Figueres,GALA-SALVADOR DALÍ FOUNDATION,Web and Social Networks 
Brasil,São Paulo,MUSEU DA LÍNGUA PORTUGUESA,ASSISTENTE DE COMUNICAÇÃO
Brasil,São Paulo,Museu da Pessoa,Coordenador do Portal e Redes Sociais
Brasil,Rio de Janeiro,Museu da Vida,jornalista
Spain,Cervera,Museu Comarcal de Cervera,Administración
Brasil,Fartura,MUSEU DE FARTURA,Diretor e agente adm
Spain,Guissona,Museu de Guissona,Tecnica
Spain,Mas de Barberans,Museu de la Pauma,Directora
Spain,Palamós,Museu de la Pesca,Documentalista
Spain,Barcelona,Museu del Disseny de Barcelona,Social Media
Spain,Palma,Museu de Mallorca,Curator
Brasil,Santos,Museu do Café,Gerente de Comunicação Institucional
Portugal,Peso da Régua,Museu do Douro,Técnica Superior
Brasil,São Paulo,MUSEU DO FUTEBOL,ASSISTENTE DE COMUNICAÇÃO
Brasil,Belém,Museu do Instituto Evandro Chagas,Técnico do Museu
Brasil,Niterói,Museu do Ingá,Coordenação de Conteúdo
Spain,Barcelona,Erotic Museum Barcelona,Directora
Brasil,Salvador,Eugênio Teixeira Leal Museum,Supervisora
Brasil,Granja,Instituto José Xavier,Coordenador
Spain,L'Hospitalet de Llobregat,Museu de l'Hospitalet,Difusión
Germany,Essen,Museum Folkwang,Trainee Press and Marketing
Russia,Irkutsk,Irkutsk Regional Studies Museum,Руководитель отдела развития
Russia,Moscow,Gosudarstvennyj muzej V.V. Majakovskogo,Начальник отдела по связям с общественностью
Belarus,Pruzhany,"Museum-manor ""Pruzhanski palacyk""",Director
Russia,Saint-Petersburg,The State Museum of the History of Religion,Head of PR-Department 
Canada,Smiths Falls,Museum Heritage House of Smiths Falls,Museum Clerk/Collections Manager
Belarus,Minsk,The museum of the history of theatrical and musical culture,Leading researcher
Russia,Tula,"The State Institution of Tula Region Culture the Association Historical, Regional and Art Museum",PR-менеджер
United States,Montross,Westmoreland County Museum,Community Outreach
Ukraine,Dnipropetrovsk,Dnipropetrovsk National Historical Museum named after  D.I. Yavornitskiy,ученный секретарь
Germany,Münster,"LWL-Museum für Kunst und Kultur, Münster",wissenschaftliche Volontärin
United Kingdom,Swindon,Swindon Museum and Art Gallery,Museum Collections Project Manager
France,Nancy,Muséum-Aquarium de nancy,Directrice-adjointe
Spain,Barcelona,Museu Marítim de Barcelona,Técnico relaciones externas y comunicación
Brasil,Taubate,Museu Mazzaropi,Coordenadora
United Kingdom,Braintree,Braintree District Museum,Collections and Interpretation Officer
United Kingdom,Cardiff,National Museum Cardiff,"Learning, Participation and Interpretation Officer"
France,Paris,The Museum channel,Directeur du développement Internet
France,Aix-en-Provence,Muséum d'Histoire Naturelle d'Aix-en-Provence,Assistante communication / événementiel
United States,,Association of Art Museum Directors,Chief Administrator
United Kingdom,Stowmarket,Museum of East Anglian Life,Marketing Officer
Italy,Cosenza,Museum Children Ebook,content e community manager
Russia,Ekaterinburg,Ekaterinburg history Museum,Начальник отдела по работе с посетителями
Russia,Ryazan,State Museum-reserve of S.A. Esenin,учёный секретарь
Russia,Ekaterinburg,Ekaterinburg Museum of Fine Arts,Head of Exhibition Department
Germany,Potsdam,museum FLUXUS+,Marketing
Georgia,Tbilisi,Georgian National Museum,Social Media Manager
Netherlands,Gouda,Museum Gouda,PR
France,Grenoble,Muséum de Grenoble,DIRECTOR
Netherlands,Amsterdam,Amsterdam School Museum The Ship,Vice director
United Kingdom,Stroud,Museum in the Park,Museum Development Manager
Indonesia,Bali,Museum Kain,Director
United States,"Washington, D.C.",Museum Studies Department,Teacher
Russia,Krasnodar  ,Kovalenko Art Museum,специалист по работе со СМИ
United Kingdom,London,Museumland,Content Manager
France,Le Havre,Muséum d'histoire naturelle du Havre,Responsable pôle développement des Publics
United Kingdom,Liverpool,Museum of Liverpool,Web Editor
France,La Rochelle,Muséum d'Histoire naturelle de La Rochelle,Directrice
Netherlands,Leiden,Museummedia,management 
United States,New York City,Museum of Modern Art,Digital Marketing Manager
Germany,Berlin,Museum Neukoelln,Öffentlichkeitsarbeit
Russia,Nizhnyaya Sinyachiha,Nizhnesinyachikhinskiy Museum-Preserve of Wooden Architecture and Folk Art called after I.D. Samoilov,научный сотрудник
Australia,Brisbane,Museum of Brisbane,Marketing Coordinator
United Kingdom,Cambridge,Museum of Cambridge,Community Engagement Coordinator
United Kingdom,Norwich,The Museum of Drugs,Curator
United States,Seattle,The Museum of Flight,Marketing and Promotions Coordinator
Canada,Kingston,Museum of Heath Care,Communications and Finance Coordinator
United States,Virtual Museum,Museum of Litter,Founder
Canada,Ottawa,Canadian Museum of Nature/Musée canadien de la nature,"Rédactrice, Web et initiatives numériques "
United Kingdom,Oxford,Museum of Oxford,Heritage Retail Assistant
United Kingdom,Maldon,Museum of Power,Visitor Experience Coordinator
Canada,Vancouver,Museum of Vancouver,Program Assistant
United States,West Bend Wisconsin,Museum of Wisconsin Art,Director of Public Relations and Social Media
Spain,Lleida,Museu d'Art Jaume Morera,Gestión de los perfiles en redes sociales del museo
Canada,Alliston,Museum on the Boyne,Museum & Heritage Coordinator
Russia,Perm,Perm krai Museum,Specialist
Canada,Stony Plain,Stony Plain and Parkland Pioneer Museum,Marketing and Events Coordinator
United Kingdom,Richmond-Upon-Thames,Museum of Richmond,Education Officer
India,Ahmedabad,aadhar,President
Spain,Palma,Sa Bassa Blanca,Educación y eventos
Germany,Köln,Museumsdienst,freie Mitarbeiterin/Beauftragte
Finland,Mariehamn,Aland Maritime Museum,Director
Italy,Firenze,MuseumShare,CEO
Italy,Cagliari,museum shop cagliari,dipendente
United Kingdom,Luton,Luton Culture,Web and Digital 
Canada,Winnipeg,Association of Manitoba Museums,Executive Director
